
1. Free Iphone 0
2. Free money 0
3. Play cards 0
4. Porn 0
5. Call me 0 
6. Free free free 0
7. Free Bid 0 
8. Spin and win 0
9. Win cash 0
10. Cash everywhere 0
11. Free gold 0
12. label, 0
13. invoice, 0
14. post, 0
15. document, 0
16. postal, 0
17. calculations, 0
18. copy, 0
19. fedex, 0
20. statement, 0
21. financial, 0
22. dhl, 0
23. usps, 0
24. 8, 0
25. notification, 0
26. n, 0
27. irs, 0
28. ups, 0
29. no, 0
30. delivery, 0
31. ticket, 0
32. piracy
33. educational 1
34. politics 1
35. organization 1
36. movies 1
37. book tickets 1
38. I m not a robot 1
39. Caption
40. Banks
41. Stack overflow
42. Stack exchange

